"","Date","Microsoft","Glasses","Phone","Office 10","Band","Hologram","Surface","Office","Silverlight","Outlook"
"105","2008-01-15",92,0,61,0,12,0,55,97,19,79
"106","2008-01-16",96,39,83,0,12,0,64,100,19,96
"107","2008-01-17",94,40,71,0,19,0,53,95,18,89
"108","2008-01-18",91,0,65,0,30,0,51,88,21,86
"109","2008-01-19",81,0,40,0,100,0,36,89,21,64
"110","2008-01-20",81,53,71,0,16,0,28,90,16,67
"111","2008-01-21",89,39,42,0,16,0,50,88,21,93
"112","2008-01-22",93,0,69,0,18,0,28,92,22,94
"113","2008-01-23",92,0,60,0,28,0,75,94,33,94
"114","2008-01-24",92,0,72,0,28,54,64,90,31,94
"115","2008-01-25",89,0,65,0,26,0,38,88,28,93
"116","2008-01-26",82,0,70,100,51,0,34,85,34,59
"117","2008-01-27",80,53,62,0,22,0,21,85,28,55
"118","2008-01-28",89,38,78,0,12,0,40,87,22,78
"119","2008-01-29",92,0,47,0,31,0,38,92,23,92
"120","2008-01-30",92,0,86,0,12,0,53,90,23,87
"121","2008-01-31",92,0,89,0,12,0,54,98,25,88
"122","2008-02-01",100,0,70,0,26,0,43,91,26,89
"123","2008-02-02",91,54,58,0,45,0,36,85,20,68
"124","2008-02-03",87,0,48,0,38,0,48,92,21,68
"125","2008-02-04",95,0,55,0,31,0,42,90,25,91
"126","2008-02-05",98,39,62,0,12,0,54,93,33,89
"127","2008-02-06",95,79,66,73,20,0,57,93,28,91
"128","2008-02-07",94,0,61,0,19,0,49,95,26,85
"129","2008-02-08",90,0,73,77,33,0,55,81,24,84
"130","2008-02-09",83,53,58,0,25,0,51,86,27,64
"131","2008-02-10",85,53,69,0,82,0,36,90,31,57
"132","2008-02-11",92,39,75,0,16,0,25,90,22,88
"133","2008-02-12",94,0,68,0,28,0,49,92,28,84
"134","2008-02-13",94,0,100,0,30,0,37,92,28,82
"135","2008-02-14",92,0,69,0,12,0,45,86,30,92
"136","2008-02-15",89,0,58,78,22,0,34,83,26,87
"137","2008-02-16",81,0,63,97,16,0,26,83,20,62
"138","2008-02-17",81,0,45,96,16,0,38,87,21,60
"139","2008-02-18",88,39,54,0,24,0,44,84,23,87
"140","2008-02-19",93,0,76,70,24,0,31,89,25,78
"141","2008-02-20",94,38,66,0,24,0,39,90,19,90
"142","2008-02-21",93,38,50,0,12,0,52,90,23,84
"143","2008-02-22",88,41,41,0,17,0,49,81,25,82
"144","2008-02-23",79,0,67,96,16,0,19,80,22,63
"145","2008-02-24",81,50,60,93,21,0,23,83,16,62
"146","2008-02-25",88,0,90,0,27,0,32,85,23,86
"147","2008-02-26",93,36,53,0,34,0,51,88,38,79
"148","2008-02-27",96,0,71,0,23,0,37,91,100,88
"149","2008-02-28",95,39,64,71,28,0,50,91,59,87
"150","2008-02-29",89,41,72,0,25,0,49,84,67,82
"151","2008-03-01",81,0,60,0,26,0,48,89,66,61
"152","2008-03-02",84,0,54,0,23,0,39,92,69,50
"153","2008-03-03",90,37,78,0,23,51,47,86,40,87
"154","2008-03-04",92,37,52,0,35,0,59,88,51,90
"155","2008-03-05",92,37,48,0,23,0,62,94,52,95
"156","2008-03-06",95,38,51,0,20,0,61,92,54,99
"157","2008-03-07",88,40,48,0,25,0,42,82,52,81
"158","2008-03-08",80,0,57,0,16,0,30,84,49,59
"159","2008-03-09",81,49,72,0,15,0,42,85,47,58
"160","2008-03-10",88,0,59,0,23,0,35,85,45,81
"161","2008-03-11",94,0,62,0,17,0,37,90,52,86
"162","2008-03-12",95,37,82,0,17,0,30,90,87,89
"163","2008-03-13",91,38,47,0,23,0,34,90,48,89
"164","2008-03-14",86,40,56,0,21,54,29,82,35,89
"165","2008-03-15",78,0,64,96,24,0,35,83,44,65
"166","2008-03-16",79,0,56,0,15,0,36,81,36,66
"167","2008-03-17",86,37,70,0,19,0,44,83,33,77
"168","2008-03-18",92,0,51,70,20,0,39,88,37,89
"169","2008-03-19",93,39,59,0,31,0,42,86,45,86
"170","2008-03-20",90,42,66,0,26,58,34,81,40,81
"171","2008-03-21",85,0,63,0,22,0,27,83,47,81
"172","2008-03-22",79,0,68,0,40,0,25,74,43,62
"173","2008-03-23",77,0,39,0,23,0,36,82,33,60
"174","2008-03-24",86,0,63,0,26,0,30,83,39,75
"175","2008-03-25",90,37,79,0,15,100,28,85,32,86
"176","2008-03-26",89,0,55,0,28,0,48,87,30,86
"177","2008-03-27",86,37,56,0,19,0,32,81,33,79
"178","2008-03-28",85,40,62,73,25,0,30,80,35,79
"179","2008-03-29",76,51,49,0,16,0,41,77,41,57
"180","2008-03-30",78,100,75,0,23,0,32,81,38,61
"181","2008-03-31",87,36,51,0,23,0,45,86,29,85
"182","2009-01-01",60,66,57,41,27,0,20,68,59,62
"183","2009-01-02",67,50,42,0,20,0,15,80,67,74
"184","2009-01-03",66,55,42,69,45,0,23,78,53,65
"185","2009-01-04",65,0,63,100,22,0,33,86,58,65
"186","2009-01-05",72,0,49,0,26,0,29,86,47,91
"187","2009-01-06",74,0,59,26,34,0,17,88,50,100
"188","2009-01-07",73,0,57,25,33,0,35,86,57,90
"189","2009-01-08",78,40,53,25,50,0,32,91,51,98
"190","2009-01-09",85,42,55,40,60,50,41,86,56,84
"191","2009-01-10",74,0,50,0,44,0,45,85,60,63
"192","2009-01-11",73,52,56,33,22,0,45,89,54,62
"193","2009-01-12",76,0,64,0,32,47,36,90,54,98
