date,Amazon video
2010-03-25,55
2010-03-26,60
2010-03-27,73
2010-03-28,76
2010-03-29,52
2010-03-30,44
2010-03-31,50
2011-01-01,75
2011-01-02,100
2011-01-03,48
2011-01-04,68
2011-01-05,47
2011-01-06,54
2011-01-07,60
2011-01-08,62
2011-01-09,60
2011-01-10,72
2011-01-11,40
2011-01-12,46
2011-01-13,54
2011-01-14,46
2011-01-15,61
2011-01-16,69
2011-01-17,59
2011-01-18,51
2011-01-19,45
2011-01-20,57
2011-01-21,48
2011-01-22,63
2011-01-23,59
2011-01-24,44
2011-01-25,46
2011-01-26,42
2011-01-27,42
2011-01-28,41
2011-01-29,65
2011-01-30,71
2011-01-31,41
2011-02-01,52
2011-02-02,48
2011-02-03,46
2011-02-04,52
2011-02-05,55
2011-02-06,64
2011-02-07,52
2011-02-08,36
2011-02-09,35
2011-02-10,40
2011-02-11,39
2011-02-12,46
2011-02-13,71
2011-02-14,51
2011-02-15,43
2011-02-16,43
2011-02-17,30
2011-02-18,41
2011-02-19,54
2011-02-20,62
2011-02-21,47
2011-02-22,99
2011-02-23,91
2011-02-24,56
2011-02-25,68
2011-02-26,79
2011-02-27,86
2011-02-28,66
2011-03-01,49
2011-03-02,49
2011-03-03,40
2011-03-04,51
2011-03-05,64
2011-03-06,63
2011-03-07,51
2011-03-08,43
2011-03-09,39
2011-03-10,41
2011-03-11,32
2011-03-12,47
2011-03-13,50
2011-03-14,42
2011-03-15,40
2011-03-16,37
2011-03-17,39
2011-03-18,36
2011-03-19,58
2011-03-20,60
2011-03-21,50
2011-03-22,45
2011-03-23,52
2011-03-24,46
2011-03-25,47
2011-03-26,57
2011-03-27,73
2011-03-28,54
2011-03-29,46
2011-03-30,37
2011-03-31,44
2012-01-01,100
2012-01-02,90
2012-01-03,68
2012-01-04,60
2012-01-05,57
2012-01-06,56
2012-01-07,84
2012-01-08,86
2012-01-09,61
2012-01-10,65
2012-01-11,59
2012-01-12,44
2012-01-13,63
2012-01-14,67
2012-01-15,66
