Date,Amazon Australia,Amazon dvd,Amazon mp3,Amazon books,Amazon India,Amazon music,Amazon UK,Amazon video,Amazon error,Amazon kindle,Amazon order,Amazon recall,Amazon register,Amazon sucks,Amazon echo,Price
3/17/07,35,60,72,40,15,76,58,33,0,46,28,0,46,46,44,44.77
3/18/07,43,68,66,52,29,72,79,59,100,0,82,100,0,0,45,44.75
3/19/07,55,59,46,63,21,52,69,50,36,0,49,71,32,0,60,56.810001
3/20/07,44,67,26,44,67,63,60,51,0,0,52,75,34,0,53,62.779999
3/21/07,42,49,46,67,0,59,62,43,0,32,60,36,0,32,53,62.599998
3/22/07,46,58,32,57,22,49,62,45,0,0,20,36,33,0,57,61.330002
3/23/07,56,54,44,73,23,66,70,36,77,34,21,0,0,34,56,62.040001
3/24/07,15,62,65,56,15,47,78,44,0,0,84,50,0,0,49,61.18
3/25/07,54,73,59,74,0,78,84,39,0,0,70,0,0,0,90,62.189999
3/26/07,38,53,63,62,10,48,53,42,35,31,19,35,0,31,100,63.23
3/27/07,55,47,36,64,0,54,66,40,0,0,19,36,48,0,69,60.82
3/28/07,28,53,37,70,32,50,63,41,73,0,80,36,32,0,56,61.830002
3/29/07,50,55,31,50,43,51,71,43,37,0,81,0,100,0,55,62.849998
3/30/07,42,46,50,81,23,59,57,39,40,0,32,39,0,0,55,60.919998
3/31/07,30,64,57,56,31,86,65,71,0,46,0,52,0,46,42,61.560001
1/1/08,90,91,61,82,34,92,100,100,0,0,100,0,55,0,48,96.25
1/2/08,72,93,44,73,68,81,74,68,0,0,98,0,0,0,63,95.209999
1/3/08,63,81,48,84,29,63,72,69,0,39,70,0,0,39,61,88.790001
1/4/08,55,77,47,78,38,77,74,75,0,0,52,0,36,0,60,88.82
1/5/08,61,98,63,76,38,92,75,74,0,0,66,0,92,0,51,87.879997
1/6/08,82,100,39,65,66,84,78,75,0,0,58,35,0,0,51,85.220001
1/7/08,63,75,51,100,35,66,70,61,0,37,60,25,0,37,66,84.260002
1/8/08,44,77,43,96,41,74,77,59,0,0,30,0,0,0,63,81.080002
1/9/08,47,74,39,87,41,76,64,71,0,73,18,0,33,73,65,82.870003
1/10/08,41,69,45,82,76,75,62,55,0,37,30,0,50,37,75,80.239998
1/11/08,69,69,100,80,21,78,66,64,25,77,37,0,35,77,79,80.349998
1/12/08,59,87,68,71,56,91,69,65,0,100,40,0,45,100,62,80.120003
1/13/08,100,87,65,79,81,100,90,66,32,0,63,0,45,0,58,79.760002
1/14/08,70,68,44,83,40,70,70,52,0,35,29,0,32,35,71,78.480003
1/15/08,64,65,55,76,67,81,64,60,23,0,69,0,0,0,68,73.970001
1/16/08,49,74,41,85,47,62,54,53,0,36,46,0,0,36,66,77.669998
1/17/08,43,60,44,76,47,66,54,62,0,0,35,25,33,0,73,77.599998
1/18/08,45,68,36,77,14,64,63,39,0,38,31,26,34,38,71,75.82
1/19/08,91,80,51,72,18,81,69,61,0,0,71,33,0,0,60,73.949997
1/20/08,98,83,61,85,70,79,70,88,62,47,54,0,43,47,54,74.209999
1/21/08,85,71,46,72,80,63,60,58,0,53,52,0,32,53,69,77.699997
1/22/08,42,62,34,81,59,59,53,52,45,0,45,0,32,0,69,74.629997
1/23/08,72,57,42,89,59,60,51,59,0,0,11,0,32,0,63,73.949997
1/24/08,64,56,48,90,40,79,63,58,47,0,52,0,33,0,66,72.089996
1/25/08,68,65,41,75,57,59,66,72,0,38,43,0,0,38,64,68.489998
1/26/08,76,73,37,82,92,85,81,67,0,49,80,0,45,49,58,70.910004
1/27/08,37,80,70,75,54,83,71,71,31,0,23,0,0,0,57,73.5
