"","date","Amazon"
"266","2007-06-23",93
"267","2007-06-24",100
"268","2007-06-25",91
"269","2007-06-26",88
"270","2007-06-27",88
"271","2007-06-28",86
"272","2007-06-29",88
"273","2007-06-30",97
"274","2007-07-01",95
"275","2007-07-02",86
"276","2007-07-03",84
"277","2007-07-04",83
"278","2007-07-05",82
"279","2007-07-06",83
"280","2007-07-07",86
"281","2007-07-08",92
"282","2007-07-09",86
"283","2007-07-10",84
"284","2007-07-11",85
"285","2007-07-12",84
"286","2007-07-13",84
"287","2007-07-14",89
"288","2007-07-15",99
"289","2007-07-16",87
"290","2007-07-17",86
"291","2007-07-18",85
"292","2007-07-19",85
"293","2007-07-20",85
"294","2007-07-21",96
"295","2007-07-22",96
"296","2007-07-23",88
"297","2007-07-24",85
"298","2007-07-25",87
"299","2007-07-26",83
"300","2007-07-27",84
"301","2007-07-28",88
"302","2007-07-29",98
"303","2007-07-30",87
"304","2007-07-31",84
"305","2007-08-01",84
"306","2007-08-02",84
"307","2007-08-03",83
"308","2007-08-04",86
"309","2007-08-05",92
"310","2007-08-06",87
"311","2007-08-07",86
"312","2007-08-08",85
"313","2007-08-09",84
"314","2007-08-10",84
"315","2007-08-11",87
"316","2007-08-12",94
"317","2007-08-13",87
"318","2007-08-14",86
"319","2007-08-15",87
"320","2007-08-16",83
"321","2007-08-17",83
"322","2007-08-18",89
"323","2007-08-19",97
"324","2007-08-20",89
"325","2007-08-21",88
"326","2007-08-22",87
"327","2007-08-23",85
"328","2007-08-24",84
"329","2007-08-25",88
"330","2007-08-26",90
"331","2007-08-27",85
"332","2007-08-28",89
"333","2007-08-29",86
"334","2007-08-30",87
"335","2007-08-31",85
"336","2007-09-01",88
"337","2007-09-02",93
"338","2007-09-03",87
"339","2007-09-04",85
"340","2007-09-05",87
"341","2007-09-06",87
"342","2007-09-07",82
"343","2007-09-08",90
"344","2007-09-09",95
"345","2007-09-10",87
"346","2007-09-11",85
"347","2007-09-12",88
