date,Amazon mp3
2010-03-25,47
2010-03-26,59
2010-03-27,62
2010-03-28,68
2010-03-29,55
2010-03-30,58
2010-03-31,49
2011-01-01,100
2011-01-02,84
2011-01-03,70
2011-01-04,56
2011-01-05,65
2011-01-06,62
2011-01-07,68
2011-01-08,75
2011-01-09,67
2011-01-10,52
2011-01-11,61
2011-01-12,60
2011-01-13,52
2011-01-14,67
2011-01-15,83
2011-01-16,74
2011-01-17,56
2011-01-18,66
2011-01-19,62
2011-01-20,52
2011-01-21,58
2011-01-22,76
2011-01-23,85
2011-01-24,58
2011-01-25,54
2011-01-26,52
2011-01-27,62
2011-01-28,59
2011-01-29,83
2011-01-30,79
2011-01-31,53
2011-02-01,57
2011-02-02,57
2011-02-03,51
2011-02-04,67
2011-02-05,75
2011-02-06,72
2011-02-07,56
2011-02-08,59
2011-02-09,59
2011-02-10,60
2011-02-11,61
2011-02-12,69
2011-02-13,68
2011-02-14,75
2011-02-15,61
2011-02-16,55
2011-02-17,56
2011-02-18,64
2011-02-19,79
2011-02-20,75
2011-02-21,46
2011-02-22,55
2011-02-23,55
2011-02-24,52
2011-02-25,60
2011-02-26,60
2011-02-27,75
2011-02-28,56
2011-03-01,49
2011-03-02,53
2011-03-03,53
2011-03-04,62
2011-03-05,71
2011-03-06,73
2011-03-07,53
2011-03-08,65
2011-03-09,49
2011-03-10,54
2011-03-11,60
2011-03-12,58
2011-03-13,55
2011-03-14,47
2011-03-15,52
2011-03-16,52
2011-03-17,54
2011-03-18,59
2011-03-19,71
2011-03-20,78
2011-03-21,49
2011-03-22,50
2011-03-23,53
2011-03-24,61
2011-03-25,64
2011-03-26,71
2011-03-27,75
2011-03-28,51
2011-03-29,82
2011-03-30,82
2011-03-31,69
2012-01-01,100
2012-01-02,84
2012-01-03,70
2012-01-04,79
2012-01-05,56
2012-01-06,70
2012-01-07,87
2012-01-08,82
2012-01-09,68
2012-01-10,60
2012-01-11,66
2012-01-12,56
2012-01-13,66
2012-01-14,78
2012-01-15,82
2012-01-16,64
2012-01-17,73
2012-01-18,63
2012-01-19,67
2012-01-20,66
2012-01-21,83
2012-01-22,80
2012-01-23,57
2012-01-24,62
2012-01-25,67
2012-01-26,62
2012-01-27,70
2012-01-28,81
2012-01-29,78
2012-01-30,63
2012-01-31,50
2012-02-01,55
2012-02-02,53
2012-02-03,71
2012-02-04,84
2012-02-05,76
2012-02-06,65
2012-02-07,64
2012-02-08,52
2012-02-09,66
2012-02-10,70
2012-02-11,73
2012-02-12,83
2012-02-13,67
2012-02-14,66
2012-02-15,63
2012-02-16,71
2012-02-17,66
2012-02-18,87
2012-02-19,84
2012-02-20,57
2012-02-21,57
2012-02-22,60
2012-02-23,60
2012-02-24,65
2012-02-25,84
2012-02-26,95
2012-02-27,62
2012-02-28,55
2012-02-29,55
2012-03-01,57
2012-03-02,65
2012-03-03,80
2012-03-04,86
2012-03-05,64
2012-03-06,63
2012-03-07,58
2012-03-08,54
2012-03-09,73
2012-03-10,82
2012-03-11,86
2012-03-12,59
2012-03-13,59
2012-03-14,57
2012-03-15,52
2012-03-16,58
2012-03-17,79
2012-03-18,86
2012-03-19,56
2012-03-20,60
2012-03-21,62
2012-03-22,67
2012-03-23,59
2012-03-24,68
2012-03-25,81
2012-03-26,69
2012-03-27,74
2012-03-28,65
2012-03-29,58
2012-03-30,79
2012-03-31,82
2013-01-01,95
2013-01-02,86
2013-01-03,84
2013-01-04,77
2013-01-05,91
2013-01-06,91
2013-01-07,69
2013-01-08,73
2013-01-09,68
2013-01-10,79
2013-01-11,81
2013-01-12,94
2013-01-13,100
2013-01-14,67
2013-01-15,72
2013-01-16,68
2013-01-17,80
2013-01-18,82
2013-01-19,100
2013-01-20,89
2013-01-21,68
2013-01-22,70
2013-01-23,66
2013-01-24,68
2013-01-25,81
2013-01-26,84
2013-01-27,90
2013-01-28,71
2013-01-29,65
2013-01-30,63
2013-01-31,69
2013-02-01,73
2013-02-02,89
2013-02-03,93
2013-02-04,69
2013-02-05,68
2013-02-06,67
2013-02-07,71
2013-02-08,77
2013-02-09,94
2013-02-10,90
2013-02-11,78
2013-02-12,65
2013-02-13,74
2013-02-14,70
2013-02-15,71
2013-02-16,92
2013-02-17,84
2013-02-18,64
2013-02-19,62
2013-02-20,62
2013-02-21,57
2013-02-22,71
2013-02-23,79
2013-02-24,75
2013-02-25,58
2013-02-26,76
2013-02-27,64
2013-02-28,71
2013-03-01,75
2013-03-02,83
2013-03-03,81
2013-03-04,63
2013-03-05,63
2013-03-06,77
2013-03-07,65
2013-03-08,68
2013-03-09,75
2013-03-10,79
2013-03-11,63
2013-03-12,68
2013-03-13,62
2013-03-14,53
2013-03-15,60
2013-03-16,79
2013-03-17,82
2013-03-18,58
2013-03-19,63
2013-03-20,63
2013-03-21,57
2013-03-22,65
2013-03-23,83
2013-03-24,89
2013-03-25,75
2013-03-26,71
2013-03-27,69
2013-03-28,67
2013-03-29,70
2013-03-30,69
2013-03-31,74
2014-01-01,100
2014-01-02,75
2014-01-03,82
2014-01-04,86
2014-01-05,86
2014-01-06,74
2014-01-07,64
2014-01-08,73
2014-01-09,67
2014-01-10,71
2014-01-11,88
2014-01-12,90
2014-01-13,62
2014-01-14,75
2014-01-15,69
2014-01-16,72
2014-01-17,71
2014-01-18,83
2014-01-19,89
2014-01-20,70
2014-01-21,60
2014-01-22,67
