date,Amazon dvd
2010-03-25,52
2010-03-26,49
2010-03-27,74
2010-03-28,73
2010-03-29,59
2010-03-30,55
2010-03-31,60
2011-01-01,86
2011-01-02,100
2011-01-03,82
2011-01-04,73
2011-01-05,69
2011-01-06,67
2011-01-07,68
2011-01-08,71
2011-01-09,83
2011-01-10,71
2011-01-11,68
2011-01-12,69
2011-01-13,60
2011-01-14,65
2011-01-15,82
2011-01-16,84
2011-01-17,67
2011-01-18,59
2011-01-19,65
2011-01-20,58
2011-01-21,58
2011-01-22,75
2011-01-23,72
2011-01-24,62
2011-01-25,60
2011-01-26,56
2011-01-27,58
2011-01-28,56
2011-01-29,65
2011-01-30,72
2011-01-31,55
2011-02-01,59
2011-02-02,53
2011-02-03,55
2011-02-04,63
2011-02-05,71
2011-02-06,77
2011-02-07,59
2011-02-08,55
2011-02-09,55
2011-02-10,55
2011-02-11,54
2011-02-12,68
2011-02-13,74
2011-02-14,54
2011-02-15,54
2011-02-16,51
2011-02-17,52
2011-02-18,54
2011-02-19,63
2011-02-20,71
2011-02-21,60
2011-02-22,52
2011-02-23,55
2011-02-24,54
2011-02-25,53
2011-02-26,63
2011-02-27,66
2011-02-28,63
2011-03-01,57
2011-03-02,46
2011-03-03,57
2011-03-04,54
2011-03-05,58
2011-03-06,67
2011-03-07,57
2011-03-08,62
2011-03-09,50
2011-03-10,50
2011-03-11,49
2011-03-12,54
2011-03-13,55
2011-03-14,45
2011-03-15,49
2011-03-16,50
2011-03-17,46
2011-03-18,51
2011-03-19,58
2011-03-20,63
2011-03-21,54
2011-03-22,56
2011-03-23,50
2011-03-24,40
2011-03-25,46
2011-03-26,64
2011-03-27,62
2011-03-28,51
2011-03-29,54
2011-03-30,55
2011-03-31,49
2012-01-01,100
2012-01-02,83
2012-01-03,78
2012-01-04,77
2012-01-05,72
2012-01-06,62
2012-01-07,73
2012-01-08,84
2012-01-09,72
2012-01-10,61
2012-01-11,65
2012-01-12,57
2012-01-13,58
2012-01-14,77
2012-01-15,81
2012-01-16,63
2012-01-17,54
2012-01-18,58
2012-01-19,59
2012-01-20,64
2012-01-21,70
2012-01-22,78
2012-01-23,63
2012-01-24,61
2012-01-25,58
2012-01-26,53
2012-01-27,62
2012-01-28,73
2012-01-29,83
2012-01-30,64
2012-01-31,57
2012-02-01,59
2012-02-02,57
2012-02-03,60
2012-02-04,71
2012-02-05,76
2012-02-06,63
2012-02-07,56
2012-02-08,59
2012-02-09,59
2012-02-10,57
2012-02-11,71
2012-02-12,69
2012-02-13,59
2012-02-14,59
2012-02-15,53
2012-02-16,56
2012-02-17,60
2012-02-18,74
2012-02-19,73
2012-02-20,64
2012-02-21,63
2012-02-22,60
2012-02-23,58
2012-02-24,59
2012-02-25,66
2012-02-26,71
2012-02-27,61
2012-02-28,61
2012-02-29,57
2012-03-01,54
2012-03-02,58
2012-03-03,74
2012-03-04,77
2012-03-05,59
2012-03-06,59
2012-03-07,52
2012-03-08,49
2012-03-09,55
2012-03-10,65
2012-03-11,67
2012-03-12,58
2012-03-13,55
2012-03-14,53
2012-03-15,55
2012-03-16,52
2012-03-17,67
2012-03-18,70
2012-03-19,60
2012-03-20,50
2012-03-21,47
2012-03-22,48
2012-03-23,58
2012-03-24,62
2012-03-25,66
2012-03-26,57
2012-03-27,52
2012-03-28,52
2012-03-29,58
2012-03-30,52
2012-03-31,62
2013-01-01,97
2013-01-02,86
2013-01-03,83
2013-01-04,85
2013-01-05,93
2013-01-06,100
2013-01-07,81
2013-01-08,72
2013-01-09,78
2013-01-10,69
2013-01-11,66
2013-01-12,86
2013-01-13,89
2013-01-14,73
2013-01-15,65
2013-01-16,65
2013-01-17,60
2013-01-18,67
2013-01-19,84
2013-01-20,89
2013-01-21,74
2013-01-22,67
2013-01-23,66
2013-01-24,64
2013-01-25,67
2013-01-26,75
2013-01-27,83
2013-01-28,64
2013-01-29,72
2013-01-30,64
2013-01-31,65
2013-02-01,60
2013-02-02,77
2013-02-03,88
2013-02-04,67
2013-02-05,74
2013-02-06,63
2013-02-07,55
2013-02-08,63
2013-02-09,81
2013-02-10,90
2013-02-11,70
2013-02-12,65
2013-02-13,62
2013-02-14,61
2013-02-15,64
2013-02-16,77
2013-02-17,82
2013-02-18,70
2013-02-19,62
2013-02-20,68
2013-02-21,60
2013-02-22,64
2013-02-23,72
2013-02-24,94
2013-02-25,71
2013-02-26,64
2013-02-27,66
2013-02-28,57
2013-03-01,59
2013-03-02,78
2013-03-03,88
2013-03-04,63
2013-03-05,59
2013-03-06,64
2013-03-07,65
2013-03-08,58
2013-03-09,77
2013-03-10,80
2013-03-11,67
2013-03-12,58
2013-03-13,57
2013-03-14,55
2013-03-15,74
2013-03-16,80
2013-03-17,79
2013-03-18,67
2013-03-19,63
2013-03-20,63
2013-03-21,56
2013-03-22,63
2013-03-23,74
2013-03-24,82
2013-03-25,65
2013-03-26,64
2013-03-27,58
2013-03-28,59
2013-03-29,67
2013-03-30,70
2013-03-31,77
2014-01-01,97
2014-01-02,94
2014-01-03,90
2014-01-04,100
2014-01-05,95
2014-01-06,87
2014-01-07,71
2014-01-08,76
2014-01-09,72
2014-01-10,72
2014-01-11,90
2014-01-12,89
2014-01-13,79
