date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
12/13/06,88,0,0,86,0,0,78,56.18
12/14/06,89,0,0,17,0,0,81,55.720001
12/15/06,88,0,0,44,62,0,81,56.610001
12/16/06,93,0,0,44,0,68,63,56.200001
12/17/06,95,0,0,30,0,0,59,57.18
12/18/06,88,41,8,63,44,97,80,57.110001
12/19/06,82,43,8,49,45,50,84,57.029999
12/20/06,78,0,0,25,46,52,76,55.740002
12/21/06,72,0,9,19,0,0,73,51.959999
12/22/06,68,63,12,61,0,0,71,49.220001
12/23/06,69,71,0,27,0,84,59,50.400002
12/24/06,66,0,0,54,0,0,51,48.27
12/25/06,69,53,0,21,0,0,45,44.939999
12/26/06,71,0,0,54,0,55,62,45.389999
12/27/06,74,0,9,71,0,0,73,46.040001
12/28/06,70,100,0,38,0,0,68,46.349998
12/29/06,71,0,0,46,0,0,67,45.860001
12/30/06,67,0,0,52,0,0,64,45.59
12/31/06,68,0,0,25,0,39,63,47.139999
1/1/07,100,43,0,46,0,38,36,47.060001
1/2/07,96,42,100,34,83,0,47,46.380001
1/3/07,93,0,0,60,0,38,54,45.529999
1/4/07,91,57,0,31,0,100,53,44.869999
1/5/07,89,0,0,31,0,0,52,44.650002
