date,Google,Translate,Docs,Okay google,gmail,Earth,Hangout,Maps,Street View,Classroom,Chrome,Price
3/14/07,85,75,47,0,95,64,0,93,0,36,0,237.116226
3/15/07,87,82,57,0,94,67,0,91,0,37,37,234.944366
3/16/07,88,69,43,0,94,68,0,93,53,38,38,240.339157
3/17/07,96,57,26,0,83,80,0,90,0,100,0,238.645493
3/18/07,92,81,40,0,76,80,0,86,0,49,0,237.873398
3/19/07,84,75,48,44,89,64,0,86,0,35,71,238.102539
3/20/07,84,80,50,0,97,60,0,74,51,74,0,239.691574
3/21/07,89,86,50,44,96,67,0,91,0,36,0,238.610626
3/22/07,86,80,50,44,95,67,0,91,0,0,0,234.809875
3/23/07,89,84,51,0,94,70,0,95,0,0,38,233.624313
3/24/07,94,65,31,0,82,82,0,88,0,0,100,238.645493
3/25/07,92,73,35,61,79,78,0,88,0,50,0,237.873398
3/26/07,81,81,56,43,94,61,0,89,0,35,35,238.102539
3/27/07,84,73,48,0,100,61,0,90,0,53,36,239.691574
3/28/07,86,75,57,0,97,63,0,90,0,72,36,238.610626
3/29/07,86,87,52,0,95,65,0,95,49,36,37,234.809875
3/30/07,89,65,49,0,94,71,0,100,0,39,39,233.624313
3/31/07,94,98,34,64,84,82,0,93,71,0,52,234.809875
1/1/08,91,66,58,83,86,99,0,73,30,0,0,233.624313
1/2/08,83,74,72,0,95,78,0,77,16,30,37,341.315674
1/3/08,82,71,60,53,94,77,0,83,16,30,0,341.385406
1/4/08,83,79,49,0,92,78,0,82,23,61,56,327.273285
1/5/08,88,70,37,0,82,88,0,75,27,77,47,323.412781
1/6/08,87,83,47,69,80,90,0,77,13,38,0,314.660583
1/7/08,82,80,73,0,93,73,0,80,20,28,0,325.380402
1/8/08,84,87,61,0,94,75,0,83,12,69,0,322.157471
1/9/08,83,81,67,50,94,74,0,84,14,41,68,317.933319
1/10/08,85,84,61,0,93,76,0,82,14,0,0,325.68924
1/11/08,86,79,67,0,95,79,0,84,15,58,0,317.63443
1/12/08,90,72,45,0,86,89,0,80,16,37,45,306.824951
1/13/08,90,90,48,0,83,94,0,82,12,0,0,299.273254
1/14/08,83,79,77,0,100,76,0,82,7,45,0,299.004272
1/15/08,84,82,69,49,99,76,0,82,12,27,33,291.083954
1/16/08,85,77,70,49,97,75,0,86,12,27,33,273.285645
1/17/08,86,81,70,0,95,79,0,83,11,41,0,286.172363
1/18/08,86,72,80,52,93,82,0,89,17,29,35,282.142456
1/19/08,92,73,45,0,80,92,0,83,16,0,45,276.951904
1/20/08,88,79,54,65,76,97,0,79,11,0,0,274.232117
1/21/08,83,80,60,0,93,75,0,83,14,27,0,273.111298
1/22/08,85,85,67,48,91,76,0,81,13,35,0,281.096375
1/23/08,85,86,59,0,92,74,0,83,12,53,33,256.986755
1/24/08,85,88,62,0,90,75,84,82,12,45,0,246.789978
1/25/08,88,86,75,0,92,80,0,88,16,29,0,252.453735
1/26/08,92,69,50,0,80,91,0,85,11,0,0,249.918243
1/27/08,89,82,54,0,74,93,0,80,17,71,0,251.532196
1/28/08,90,83,72,0,92,77,0,82,15,44,32,257.38028
1/29/08,86,86,77,0,92,75,0,84,19,26,32,259.606934
1/30/08,87,85,77,0,94,76,0,82,14,44,49,258.077667
1/31/08,87,88,69,0,93,78,0,86,23,0,0,266.311798
2/1/08,89,78,64,0,92,79,0,84,11,29,0,265.131226
2/2/08,94,76,60,66,81,94,0,83,20,55,45,263.831085
2/3/08,91,77,50,0,74,93,0,80,14,74,44,253.524734
2/4/08,87,77,79,0,92,77,0,81,8,28,0,253.549637
2/5/08,87,81,77,0,88,75,0,83,11,41,0,250.491104
2/6/08,87,88,70,0,92,74,0,85,14,27,33,252.951874
2/7/08,89,92,87,50,93,77,0,85,11,41,34,242.311752
2/8/08,90,75,81,0,92,81,0,90,13,67,0,231.228302
2/9/08,93,71,63,0,82,92,0,86,23,0,46,235.547119
2/10/08,90,81,72,66,76,91,0,84,21,54,44,236.807388
2/11/08,85,87,74,0,95,73,0,87,13,44,33,234.710251
2/12/08,87,87,79,0,93,75,0,91,10,40,0,227.656693
2/13/08,88,82,86,0,92,75,0,84,29,27,0,221.469879
2/14/08,90,84,72,0,94,74,0,87,24,27,34,223.014084
2/15/08,89,83,68,52,92,80,0,96,21,43,36,215.542099
2/16/08,91,78,57,0,79,92,0,89,28,36,88,215.865875
2/17/08,91,85,62,0,76,98,0,83,17,36,44,206.03772
2/18/08,83,78,71,0,92,75,0,89,15,26,0,219.09877
2/19/08,85,88,77,47,91,72,0,86,22,35,0,219.268127
2/20/08,86,85,89,0,92,72,0,86,11,65,32,220.677841
2/21/08,87,84,83,0,92,77,0,87,16,26,32,218.142349
2/22/08,89,75,69,75,92,78,0,91,11,42,0,209.151047
2/23/08,92,73,58,64,80,89,0,84,16,0,0,218.76004
2/24/08,93,95,69,62,74,93,0,84,16,35,85,215.193405
2/25/08,86,93,75,0,92,71,0,85,17,38,31,215.965515
2/26/08,87,86,79,45,94,72,0,85,16,100,31,229.420074
2/27/08,89,91,92,0,94,76,0,88,19,39,0,224.54834
2/28/08,90,87,90,0,93,75,0,90,21,52,0,228.239502
2/29/08,91,79,84,100,91,76,0,91,17,28,0,221.210846
3/1/08,93,71,58,0,79,88,0,85,29,35,43,218.222046
3/2/08,91,91,47,0,75,91,0,80,10,0,63,219.412582
3/3/08,87,86,92,45,92,72,0,85,16,50,0,231.985458
3/4/08,88,91,81,0,91,72,0,85,22,0,0,231.980484
3/5/08,89,93,100,0,93,72,0,89,16,25,0,226.710236
3/6/08,90,91,91,48,95,75,0,88,19,26,32,234.665421
3/7/08,92,84,73,0,92,87,0,100,100,28,100,237.519714
3/8/08,94,74,60,0,79,95,0,93,65,0,43,233.03154
3/9/08,91,84,58,0,75,95,0,88,58,34,84,231.228302
3/10/08,85,87,86,45,92,73,0,88,40,25,31,233.664169
3/11/08,89,94,89,0,94,76,0,93,37,26,32,227.87088
3/12/08,90,100,71,46,91,76,0,91,27,43,31,224.986694
3/13/08,89,96,86,0,93,77,0,95,18,52,0,222.585693
3/14/08,91,79,80,0,93,81,0,96,31,28,34,226.665405
3/15/08,95,81,57,0,80,93,0,96,26,35,44,223.930649
3/16/08,93,88,57,0,73,94,0,86,18,34,0,268.697845
3/17/08,89,88,88,47,90,73,0,93,28,77,32,267.890869
3/18/08,87,98,77,0,91,75,0,92,20,35,32,276.463745
3/19/08,88,94,78,0,91,74,0,92,16,27,33,272.22464
3/20/08,91,92,77,0,87,78,0,93,13,43,0,270.506073
3/21/08,89,76,60,0,80,87,100,86,19,32,0,271.01416
3/22/08,90,80,50,0,78,90,0,84,18,38,0,275.029114
3/23/08,93,89,59,70,76,100,0,79,19,0,0,278.192261
3/24/08,88,83,86,51,89,85,0,85,24,29,0,286.072723
3/25/08,87,94,79,46,92,77,0,93,25,34,31,295.432648
3/26/08,88,89,81,0,91,74,0,92,21,25,31,289.559662
3/27/08,87,91,95,46,91,72,0,99,24,25,0,296.339233
3/28/08,89,88,88,0,92,74,0,100,30,27,0,292.085205
3/29/08,100,89,62,0,80,88,0,97,34,35,42,288.418945
3/30/08,92,95,73,0,76,86,0,88,33,34,0,290.416443
3/31/08,87,93,100,0,93,69,0,93,24,25,31,285.529755
1/1/09,79,56,32,44,65,52,0,56,8,0,89,160.060059
1/2/09,75,55,50,34,68,45,96,59,7,32,86,163.412491
1/3/09,77,66,48,37,63,49,0,59,7,71,78,166.406265
1/4/09,76,62,55,0,62,50,0,57,6,34,82,160.403763
1/5/09,73,62,63,0,71,41,0,60,6,44,70,161.987823
1/6/09,75,68,77,56,69,44,78,60,6,66,67,156.946732
1/7/09,74,71,79,27,70,40,0,59,7,59,63,155.761169
1/8/09,75,68,74,27,71,43,0,63,8,43,66,156.57312
1/9/09,78,66,72,28,71,43,0,65,8,26,78,149.92305
1/10/09,79,62,60,0,64,48,0,60,9,67,96,148.936752
1/11/09,79,75,55,35,62,48,100,58,8,33,95,149.275482
1/12/09,76,72,72,0,72,41,0,64,6,25,78,140.847076
1/13/09,77,77,81,27,72,43,0,64,6,41,69,150.974106
1/14/09,78,76,71,0,71,48,0,63,5,74,68,152.677719
1/15/09,78,71,78,0,71,45,0,66,6,25,69,161.743744
1/16/09,78,64,71,0,71,45,0,66,6,40,65,161.330292
1/17/09,80,62,57,53,64,51,0,65,6,100,82,165.121078
1/18/09,78,72,52,69,62,52,0,57,6,33,78,173.68399
1/19/09,75,71,66,26,72,41,0,61,5,25,65,171.018982
1/20/09,76,72,69,26,71,40,0,62,4,24,61,168.632919
1/21/09,78,76,76,26,72,40,0,64,4,58,62,169.649109
1/22/09,78,74,79,26,72,42,0,64,6,50,59,169.58934
1/23/09,78,70,68,28,71,42,0,65,7,44,66,170.859573
1/24/09,80,64,52,35,65,50,99,65,5,44,80,176.199554
1/25/09,79,73,51,34,62,51,0,59,6,32,73,184.946777
1/26/09,76,75,75,26,72,41,0,62,6,37,63,188.677795
1/27/09,79,75,80,26,77,41,0,64,6,57,66,178.585617
1/28/09,81,77,85,26,79,42,0,65,6,25,65,178.351501
1/29/09,79,72,71,26,79,43,0,67,6,25,68,180.847137
1/30/09,82,68,72,0,77,46,0,69,8,53,70,178.172165
1/31/09,97,62,63,68,71,50,0,64,8,43,91,170.690216
2/1/09,80,75,53,34,65,50,0,59,6,32,80,175.895706
2/2/09,82,93,80,51,73,56,72,60,6,84,65,170.680252
2/3/09,94,88,84,0,73,100,0,64,6,48,65,172.57814
2/4/09,93,87,82,25,74,83,0,69,6,59,65,164.413742
2/5/09,90,88,89,25,75,69,0,69,6,36,67,172.080002
2/6/09,88,82,79,41,72,64,0,70,6,60,68,170.182114
2/7/09,87,73,48,45,65,69,0,67,6,32,86,167.960449
2/8/09,86,83,54,33,62,72,0,62,7,46,75,168.363937
2/9/09,82,81,91,0,74,55,0,66,6,78,62,162.969147
2/10/09,86,79,87,50,75,57,0,65,6,47,60,162.132294
2/11/09,85,83,86,0,76,56,0,66,5,41,62,158.864532
2/12/09,84,81,96,52,75,52,0,67,5,41,58,152.249329
2/13/09,83,74,69,0,74,52,0,70,7,52,59,153.708862
2/14/09,84,71,52,35,67,59,0,65,7,66,70,144.901871
2/15/09,84,82,56,0,64,61,0,62,6,54,69,153.509613
2/16/09,78,81,74,0,75,46,0,63,6,24,60,158.36142
2/17/09,82,83,79,0,75,46,0,66,5,36,61,161.160934
2/18/09,80,82,79,38,75,49,0,65,6,56,57,161.604263
2/19/09,82,80,82,0,75,49,0,66,9,41,61,159.248093
2/20/09,85,78,72,28,75,60,0,69,7,26,63,167.043884
2/21/09,87,74,48,0,66,66,0,66,8,65,72,165.928055
2/22/09,83,84,64,0,63,62,0,61,8,53,72,164.353958
2/23/09,79,83,83,0,72,48,0,62,6,48,57,164.463547
2/24/09,82,86,89,0,100,47,0,63,5,61,62,173.649124
2/25/09,82,88,82,26,76,46,0,62,5,56,68,172.936783
2/26/09,82,88,81,51,74,47,0,66,6,56,63,171.392578
2/27/09,82,78,81,0,72,47,0,70,6,38,63,175.985367
2/28/09,83,75,57,34,66,54,0,65,6,32,69,173.200806
3/1/09,83,89,69,66,64,52,0,60,6,62,71,170.705154
3/2/09,80,88,95,41,75,44,0,63,4,46,55,173.380127
3/3/09,82,88,92,25,75,44,0,64,5,47,54,176.383865
3/4/09,82,92,87,25,76,46,0,64,5,47,53,180.573166
3/5/09,82,89,96,25,74,45,0,66,5,48,58,184.19957
3/6/09,82,86,76,40,75,47,0,68,5,76,61,183.432449
3/7/09,85,81,54,33,66,53,0,65,6,32,75,178.65535
3/8/09,82,89,58,33,63,53,0,62,5,77,70,180.324097
3/9/09,80,90,87,33,75,43,0,65,5,58,60,185.554489
3/10/09,81,93,96,25,75,43,0,64,5,46,59,188.349014
3/11/09,81,95,98,25,75,43,0,65,4,47,56,183.766205
3/12/09,83,90,97,25,75,43,0,65,5,56,56,189.041428
3/13/09,84,84,81,27,75,45,0,68,5,84,61,193.64418
3/14/09,89,84,59,0,66,55,0,68,5,48,77,195.387634
3/15/09,84,94,53,100,64,55,0,63,6,73,73,188.941803
3/16/09,81,91,73,0,75,44,0,65,5,47,57,190.022751
3/17/09,84,97,82,25,76,44,0,67,5,71,62,191.213287
3/18/09,83,96,92,38,76,43,0,68,5,32,82,191.62674
3/19/09,89,92,85,51,75,48,0,79,51,40,89,194.017776
3/20/09,100,88,79,0,75,64,77,100,100,38,87,192.254379
3/21/09,95,79,45,34,66,63,0,84,59,32,100,191.138565
3/22/09,92,95,58,0,63,61,0,77,52,31,91,195.004074
3/23/09,88,99,80,24,74,49,0,79,38,31,77,197.245682
3/24/09,88,98,92,0,75,50,0,78,35,54,76,196.109924
3/25/09,88,94,79,25,75,51,0,77,26,62,74,200.239456
3/26/09,90,97,90,25,76,52,0,79,35,39,76,200.742569
3/27/09,87,88,86,0,74,52,0,79,28,33,73,200.981674
3/28/09,89,79,55,0,66,58,0,74,26,46,86,197.564484
3/29/09,86,90,63,32,63,58,0,71,22,30,81,202.904465
3/30/09,84,95,100,0,76,46,0,73,20,23,68,312.204773
3/31/09,88,100,90,50,76,48,0,76,46,70,68,310.829926
1/1/10,82,68,35,33,76,90,0,65,36,40,73,302.994293
1/2/10,79,68,40,42,75,85,0,67,30,39,75,295.940735
1/3/10,81,74,50,45,75,84,0,66,30,42,76,299.885956
1/4/10,83,72,66,42,84,71,0,72,26,38,69,299.432648
1/5/10,88,77,69,34,84,72,0,74,32,32,68,294.137512
1/6/10,91,80,71,21,82,75,0,75,30,45,69,292.448822
1/7/10,87,81,68,20,83,73,0,77,28,38,68,293.823669
1/8/10,85,76,62,28,83,75,0,78,28,68,68,288.917053
1/9/10,85,76,46,26,75,83,0,71,29,59,79,292.71283
1/10/10,84,85,43,25,73,85,0,71,27,39,77,289.121307
1/11/10,83,85,74,30,85,70,0,76,26,31,63,290.401489
1/12/10,84,82,81,19,85,70,0,76,23,66,61,273.978058
1/13/10,91,85,100,20,88,84,0,80,29,24,64,268.99176
1/14/10,92,85,89,20,86,91,0,82,27,56,62,270.197235
1/15/10,90,78,81,31,85,96,0,84,27,26,64,270.037842
1/16/10,88,75,51,0,77,100,0,80,26,64,79,266.1474
1/17/10,87,85,48,34,74,95,0,73,28,23,78,263.98053
1/18/10,85,82,71,39,86,77,0,79,26,48,65,265.514771
1/19/10,86,84,86,19,88,76,0,80,26,48,65,264.568329
1/20/10,86,86,81,29,87,76,0,79,28,45,65,269.400208
1/21/10,87,84,81,30,88,77,0,82,58,49,67,262.406433
1/22/10,88,80,80,21,90,80,0,87,63,57,66,264.653015
1/23/10,88,74,50,51,80,89,0,81,47,31,80,265.738953
1/24/10,85,84,57,25,76,88,0,74,42,34,77,267.218414
1/25/10,83,82,78,19,90,71,0,80,35,41,66,266.227112
1/26/10,86,85,83,39,88,69,0,80,32,60,75,267.198486
1/27/10,86,87,78,19,90,70,0,80,41,59,76,265.564606
1/28/10,86,83,87,32,89,70,0,80,29,72,74,269.639313
1/29/10,86,79,78,21,91,73,0,82,32,19,78,268.100098
1/30/10,85,76,56,38,80,83,0,75,35,70,100,270.595734
1/31/10,85,83,57,25,77,82,0,73,36,61,99,269.370331
2/1/10,84,82,89,32,91,66,0,76,29,47,76,270.386536
2/2/10,88,89,90,19,93,67,0,79,30,35,87,266.53595
2/3/10,88,88,87,0,93,68,0,79,28,54,77,264.742676
2/4/10,88,85,84,20,93,70,0,81,27,72,69,262.232086
2/5/10,86,81,79,20,90,75,0,84,29,38,72,262.416412
2/6/10,87,75,56,25,81,88,0,82,33,46,87,265.350403
2/7/10,84,83,57,25,77,86,0,76,35,57,82,269.519775
2/8/10,85,87,85,19,92,73,0,81,28,47,65,271.641815
2/9/10,92,90,84,29,94,74,0,90,70,59,64,276.259521
2/10/10,100,89,86,48,97,79,100,97,86,62,65,281.051544
2/11/10,95,90,84,30,96,77,0,99,77,49,68,280.189789
2/12/10,94,82,82,63,93,80,0,99,65,39,76,279.049042
2/13/10,91,77,47,35,82,87,0,92,59,24,89,287.148682
2/14/10,88,84,53,0,79,88,0,85,50,48,83,289.484924
2/15/10,87,86,77,21,92,73,0,86,41,38,70,288.687927
2/16/10,87,86,78,100,92,70,0,85,38,25,69,280.538483
2/17/10,88,89,83,26,93,71,0,86,36,55,67,281.544708
2/18/10,88,90,81,39,92,72,0,88,36,61,69,281.72403
2/19/10,89,86,75,48,92,72,0,90,34,64,71,282.142456
2/20/10,88,81,51,25,83,82,0,85,36,35,82,278.954407
2/21/10,85,89,52,24,79,83,0,80,36,34,81,277.709076
2/22/10,86,90,85,57,95,67,0,86,31,52,63,273.474945
2/23/10,88,93,91,19,94,71,0,86,61,81,63,277.62439
2/24/10,87,94,80,32,94,71,0,86,45,100,67,280.389038
2/25/10,89,89,83,39,93,70,0,85,34,53,66,280.294403
2/26/10,87,83,73,0,91,71,0,86,38,37,66,280.174835
2/27/10,88,82,50,0,81,98,0,90,41,46,80,282.296875
2/28/10,85,91,54,0,77,89,0,79,37,44,80,282.501129
3/1/10,85,92,87,32,92,71,0,84,34,71,66,283.337982
3/2/10,87,93,87,38,95,71,0,85,35,71,68,284.438843
3/3/10,88,93,86,0,94,70,0,85,35,53,67,283.049072
3/4/10,89,95,85,33,96,72,0,87,34,48,63,280.717804
3/5/10,87,89,82,20,93,75,0,91,32,38,70,282.685425
3/6/10,85,83,52,25,81,84,0,86,37,23,85,282.052795
3/7/10,84,92,59,25,79,82,0,79,34,30,85,285.295654
3/8/10,84,94,92,19,94,66,0,83,33,53,65,292.289429
3/9/10,87,98,89,19,97,69,0,86,33,71,61,293.400269
3/10/10,90,99,94,38,96,69,0,88,35,70,62,296.538513
3/11/10,92,96,86,26,96,77,0,98,100,30,64,274.047791
3/12/10,91,90,83,60,95,79,0,100,92,74,67,274.022888
3/13/10,88,84,55,49,83,86,0,92,80,45,82,276.483673
3/14/10,87,94,60,48,78,87,0,86,75,52,84,276.115051
3/15/10,86,94,80,0,95,71,0,90,65,46,65,272.508575
3/16/10,88,95,87,29,97,72,0,93,70,53,64,271.477448
3/17/10,90,96,82,48,96,73,0,95,70,48,66,264.827362
3/18/10,91,96,84,20,98,74,0,95,69,61,70,263.542175
3/19/10,88,87,74,27,94,77,0,96,71,44,67,263.606934
3/20/10,88,85,50,42,83,87,0,95,80,54,82,265.006683
3/21/10,87,94,60,24,79,89,0,90,70,37,80,261.868439
3/22/10,90,98,89,28,95,72,0,94,60,76,65,264.309296
3/23/10,97,99,91,0,99,74,0,96,56,47,68,252.239548
3/24/10,94,100,88,19,100,71,0,93,55,60,68,253.928207
3/25/10,90,95,85,20,98,71,0,94,50,96,68,248.403915
3/26/10,91,90,78,21,97,73,0,98,49,82,69,245.649246
3/27/10,88,85,54,0,84,83,0,90,51,70,84,259.851013
3/28/10,86,92,56,25,80,82,0,86,52,39,81,301.0466
3/29/10,86,91,86,38,95,70,0,92,49,94,66,299.93576
3/30/10,88,94,89,29,96,71,0,93,47,54,66,303.397797
3/31/10,87,93,81,20,93,70,0,94,45,79,69,305.604523
1/1/11,81,67,42,40,81,85,0,78,99,20,84,307.069031
1/2/11,81,68,49,71,79,83,0,80,100,18,80,305.958191
1/3/11,80,69,73,38,93,71,0,84,82,35,71,306.854828
1/4/11,82,72,77,64,94,70,0,88,78,41,67,307.283234
1/5/11,84,74,76,55,93,72,0,90,83,54,68,307.193573
1/6/11,83,75,76,46,89,72,0,88,82,55,69,310.924591
1/7/11,83,72,73,42,89,74,0,92,84,21,69,318.620728
1/8/11,83,71,53,89,83,82,0,88,82,17,79,314.695435
1/9/11,81,76,54,97,80,81,0,83,92,32,75,312.214752
1/10/11,82,77,85,40,95,70,0,89,78,72,66,304.772644
1/11/11,84,78,82,43,94,73,79,91,78,45,64,304.399048
1/12/11,86,81,79,44,95,74,0,91,82,85,65,308.797546
1/13/11,85,81,81,62,96,73,0,93,83,59,67,307.098907
1/14/11,86,75,74,81,92,74,0,94,81,41,71,307.243378
1/15/11,82,71,49,49,80,82,100,90,84,32,80,299.372864
1/16/11,84,91,51,54,78,81,0,86,90,16,77,299.059052
1/17/11,84,100,70,39,95,69,0,91,77,38,66,304.37912
1/18/11,87,96,83,34,94,70,0,92,77,45,66,304.85733
1/19/11,89,95,85,77,94,70,0,95,77,70,68,303.93576
1/20/11,88,88,81,26,95,72,0,96,74,91,67,304.349213
1/21/11,87,79,76,45,93,70,83,96,77,27,68,305.998047
1/22/11,85,77,51,98,84,82,0,94,80,16,79,308.0354
1/23/11,84,85,57,80,81,82,0,87,94,63,74,307.098907
1/24/11,83,82,80,51,97,69,0,91,77,19,64,307.069031
1/25/11,86,84,87,34,96,71,0,92,81,25,66,311.083984
1/26/11,86,82,83,51,95,68,0,92,71,51,65,312.902161
1/27/11,86,82,79,65,96,69,0,94,70,65,67,310.909637
1/28/11,87,76,75,69,95,73,0,95,83,54,68,310.944489
1/29/11,86,72,55,53,86,79,0,92,81,16,80,311.462555
1/30/11,86,78,58,91,82,80,0,85,82,23,79,313.863556
1/31/11,87,78,91,97,98,69,0,90,79,84,68,303.965668
2/1/11,90,80,92,49,97,72,0,92,83,43,71,304.518585
2/2/11,92,82,83,49,97,73,0,93,90,36,73,303.273254
2/3/11,91,81,86,75,97,73,0,94,86,81,72,303.880981
2/4/11,93,75,80,26,97,77,0,97,83,39,80,305.554718
2/5/11,90,72,57,31,85,81,0,91,91,31,93,299.258301
2/6/11,88,79,58,46,81,80,0,86,86,23,88,299.273254
2/7/11,89,81,88,37,97,71,0,91,73,61,76,303.641876
2/8/11,94,84,93,63,97,72,0,94,75,100,74,299.188568
2/9/11,90,85,88,34,96,69,78,94,74,50,75,294.725311
2/10/11,88,84,89,69,98,69,0,94,73,45,74,295.049072
2/11/11,90,80,79,54,96,70,0,100,73,20,75,294.78009
2/12/11,87,74,51,85,83,77,0,94,75,16,86,289.066498
2/13/11,86,84,59,52,82,80,0,87,80,39,80,287.278198
2/14/11,89,84,89,34,99,64,0,94,73,82,67,283.930756
2/15/11,88,81,91,57,98,65,0,92,69,55,80,283.716553
2/16/11,89,84,91,50,98,67,0,93,68,44,81,277.509827
2/17/11,90,83,91,26,98,68,0,94,62,32,81,279.631866
2/18/11,89,79,80,71,96,72,0,98,62,60,86,279.482422
2/19/11,89,73,57,42,85,77,0,95,69,47,100,287.173615
2/20/11,86,88,62,72,81,77,0,87,67,38,93,287.582062
2/21/11,86,91,81,25,98,68,0,93,62,50,81,289.993042
2/22/11,89,89,93,63,97,70,0,95,60,43,81,292.349213
2/23/11,89,90,90,38,97,69,0,93,59,56,81,288.787567
2/24/11,89,83,87,59,96,68,0,94,61,51,81,286.605743
2/25/11,88,80,83,40,96,69,0,96,65,46,84,289.778839
2/26/11,87,76,58,73,84,75,0,93,61,23,94,289.833618
2/27/11,85,84,60,30,80,73,0,86,66,30,91,292.284454
2/28/11,86,84,88,66,99,62,0,89,59,43,75,294.795044
3/1/11,88,87,92,25,99,64,0,90,56,67,80,292.742737
