date,Microsoft,Glasses,Phone,Office 10,Band,Hologram,Surface,Office,Silverlight,Outlook,Price
1/14/08,92,0,46,0,24,0,37,92,21,77,31.93
1/15/08,92,0,61,0,12,0,55,97,19,79,33.25
1/16/08,96,39,83,0,12,0,64,100,19,96,32.939999
1/17/08,94,40,71,0,19,0,53,95,18,89,32.720001
1/18/08,91,0,65,0,30,0,51,88,21,86,32.599998
1/19/08,81,0,40,0,100,0,36,89,21,64,32.200001
1/20/08,81,53,71,0,16,0,28,90,16,67,32.599998
1/21/08,89,39,42,0,16,0,50,88,21,93,30.450001
1/22/08,93,0,69,0,18,0,28,92,22,94,30.190001
1/23/08,92,0,60,0,28,0,75,94,33,94,29.07
1/24/08,92,0,72,0,28,54,64,90,31,94,28.52
1/25/08,89,0,65,0,26,0,38,88,28,93,28.120001
1/26/08,82,0,70,100,51,0,34,85,34,59,28.559999
1/27/08,80,53,62,0,22,0,21,85,28,55,28.209999
1/28/08,89,38,78,0,12,0,40,87,22,78,28.34
1/29/08,92,0,47,0,31,0,38,92,23,92,28.959999
1/30/08,92,0,86,0,12,0,53,90,23,87,28.5
1/31/08,92,0,89,0,12,0,54,98,25,88,28.42
2/1/08,100,0,70,0,26,0,43,91,26,89,28.17
2/2/08,91,54,58,0,45,0,36,85,20,68,28.219999
2/3/08,87,0,48,0,38,0,48,92,21,68,28.1
2/4/08,95,0,55,0,31,0,42,90,25,91,27.68
2/5/08,98,39,62,0,12,0,54,93,33,89,27.84
2/6/08,95,79,66,73,20,0,57,93,28,91,28.379999
2/7/08,94,0,61,0,19,0,49,95,26,85,28.26
2/8/08,90,0,73,77,33,0,55,81,24,84,27.93
2/9/08,83,53,58,0,25,0,51,86,27,64,27.200001
2/10/08,85,53,69,0,82,0,36,90,31,57,26.99
2/11/08,92,39,75,0,16,0,25,90,22,88,27.59
2/12/08,94,0,68,0,28,0,49,92,28,84,28.120001
2/13/08,94,0,100,0,30,0,37,92,28,82,27.57
2/14/08,92,0,69,0,12,0,45,86,30,92,27.870001
2/15/08,89,0,58,78,22,0,34,83,26,87,28.049999
2/16/08,81,0,63,97,16,0,26,83,20,62,29.280001
2/17/08,81,0,45,96,16,0,38,87,21,60,28.629999
2/18/08,88,39,54,0,24,0,44,84,23,87,28.620001
2/19/08,93,0,76,70,24,0,31,89,25,78,27.959999
2/20/08,94,38,66,0,24,0,39,90,19,90,28.299999
2/21/08,93,38,50,0,12,0,52,90,23,84,29.42
2/22/08,88,41,41,0,17,0,49,81,25,82,28.620001
2/23/08,79,0,67,96,16,0,19,80,22,63,29.18
