date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
1/6/08,91,57,0,31,0,100,53,39,100,66,84,44.869999
1/7/08,89,0,0,31,0,0,52,51,75,35,66,44.650002
1/8/08,95,80,0,44,0,0,43,43,77,41,74,45.169998
1/9/08,95,0,0,64,0,34,37,39,74,41,76,43.970001
1/10/08,91,40,0,65,0,34,53,45,69,76,75,42.32
1/11/08,88,0,0,33,39,0,51,100,69,21,78,42.939999
1/12/08,86,0,0,58,0,0,53,68,87,56,91,43.650002
1/13/08,85,0,0,61,0,0,56,65,87,81,100,43.009998
1/14/08,86,0,0,30,0,0,51,44,68,40,70,42.970001
1/15/08,89,0,0,65,0,0,46,55,65,67,81,42.009998
1/16/08,98,0,0,95,0,0,42,41,74,47,62,43.169998
1/17/08,86,0,0,53,0,0,55,44,60,47,66,44.389999
1/18/08,87,39,0,53,0,0,53,36,68,14,64,44.09
1/19/08,85,42,0,46,0,36,52,51,80,18,81,43.5
1/20/08,80,0,0,44,0,0,55,61,83,70,79,42.709999
1/21/08,82,0,0,87,0,0,56,46,71,80,63,41.549999
1/22/08,88,0,0,72,0,0,41,34,62,59,59,41.279999
1/23/08,94,0,0,41,0,66,44,42,57,59,60,42.439999
1/24/08,82,38,0,63,38,33,53,48,56,40,79,41.080002
1/25/08,82,39,0,54,0,34,56,41,65,57,59,42.130001
1/26/08,83,0,0,34,41,72,53,37,73,92,85,42.799999
1/27/08,80,0,0,45,0,0,49,70,80,54,83,43.009998
1/28/08,79,0,0,29,0,46,51,75,58,19,87,42.799999
1/29/08,86,0,0,61,0,0,42,61,60,19,73,40.849998
1/30/08,92,0,89,41,0,0,41,56,48,33,73,40.23
1/31/08,82,75,0,21,0,0,53,51,49,27,64,39.630001
2/1/08,82,39,0,64,38,0,52,51,69,0,63,41.990002
2/2/08,80,40,0,33,0,0,55,51,68,100,97,41.700001
2/3/08,80,0,0,44,0,0,51,48,77,45,66,42.759998
2/4/08,83,53,0,29,0,0,48,40,65,27,65,43.799999
2/5/08,89,0,0,21,37,0,46,43,55,41,81,43.279999
2/6/08,89,0,88,51,0,0,45,46,62,20,60,44.740002
2/7/08,81,0,0,21,38,0,53,33,66,48,69,46.09
2/8/08,83,0,0,41,0,33,53,49,62,29,70,46.959999
2/9/08,80,0,0,87,0,35,52,60,79,45,80,46.439999
2/10/08,79,0,0,72,0,46,51,59,83,45,76,45.849998
2/11/08,79,0,0,28,0,45,48,51,67,85,73,48.099998
2/12/08,85,37,0,40,0,32,43,38,55,33,60,47.959999
2/13/08,91,37,87,0,0,0,43,36,57,58,61,46.580002
2/14/08,82,0,0,31,38,33,52,34,53,61,53,46.790001
2/15/08,80,39,0,43,78,0,52,39,57,42,69,46.990002
2/16/08,73,0,0,68,0,0,51,42,80,63,87,45.5
2/17/08,78,0,0,61,0,0,53,50,86,88,76,47.110001
2/18/08,80,54,0,60,0,0,50,50,58,91,71,45.200001
2/19/08,84,40,0,33,40,0,44,42,65,38,70,45.720001
2/20/08,89,0,0,53,0,0,48,31,69,32,58,48.860001
2/21/08,84,38,0,31,0,33,54,29,59,32,57,46.290001
2/22/08,80,38,0,52,0,0,54,37,64,41,66,47.25
2/23/08,82,0,0,55,0,0,52,57,80,52,81,48
2/24/08,78,0,0,100,52,0,51,54,73,51,80,46.970001
